A0A0H2UQ73,Niacin transporter NiaX,Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4),Brak InterPro kodów dla tego białka.,imex:IM-18537|psi-mi:"MI:0946"|pubmed:23267104
Q68CJ9,Cyclic AMP-responsive element-binding protein 3-like protein 3,Homo sapiens,IPR004827|IPR046347|IPR051381,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q69YG0,Transmembrane protein 42,Homo sapiens,IPR037185|IPR039632,imex:IM-25472|pubmed:32296183
Q6GTS8,N-fatty-acyl-amino acid synthase/hydrolase PM20D1,Homo sapiens,IPR036264|IPR047177|IPR002933|IPR011650,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6NTF9-3,Isoform 3 of Rhomboid domain-containing protein 2,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
Q6PL45-2,Isoform 2 of BRICHOS domain-containing protein 5,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
Q6Q1R8,Nucleoprotein,Human coronavirus NL63,IPR044344|IPR044345|IPR042548|IPR001218|IPR037179|IPR037195,imex:IM-29365|pubmed:34232536
Q6RW13,Type-1 angiotensin II receptor-associated protein,Homo sapiens,IPR009436,imex:IM-23318|pubmed:25416956
Q6RW13-2,Isoform 2 of Type-1 angiotensin II receptor-associated protein,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
Q6UVJ0,Spindle assembly abnormal protein 6 homolog,Homo sapiens,IPR032396|IPR038558|IPR041513,imex:IM-24512|pubmed:26638075
Q6UX27-3,Isoform 3 of V-set and transmembrane domain-containing protein 1,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
Q6UY11,Protein delta homolog 2,Homo sapiens,IPR000742|IPR001881|IPR000152|IPR018097|IPR051022,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6UY11-2,Isoform 2 of Protein delta homolog 2,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q6Y7W6,GRB10-interacting GYF protein 2,Homo sapiens,IPR051640|IPR003169|IPR035445,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6ZVX7,F-box only protein 50,Homo sapiens,IPR007397|IPR039752|IPR008979,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q6ZWV7,Large ribosomal subunit protein uL29,Mus musculus,IPR001854|IPR018254|IPR045059|IPR036049,imex:IM-24272|pubmed:26496610
Q72C30,Bifunctional enzyme IspD/IspF,Nitratidesulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / CCUG 34227 / NCIMB 8303 / VKM B-1760 / Hildenborough),IPR001228|IPR026596|IPR034683|IPR018294|IPR003526|IPR020555|IPR036571|IPR029044,imex:IM-22740|pubmed:26873250
Q72D36,Argininosuccinate lyase,Nitratidesulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / CCUG 34227 / NCIMB 8303 / VKM B-1760 / Hildenborough),IPR029419|IPR009049|IPR024083|IPR020557|IPR000362|IPR022761|IPR008948,pubmed:unassigned1256
Q72FB7,DUF4911 domain-containing protein,Nitratidesulfovibrio vulgaris (strain ATCC 29579 / DSM 644 / CCUG 34227 / NCIMB 8303 / VKM B-1760 / Hildenborough),IPR032587,imex:IM-22740|pubmed:26873250
Q7K087,Brak nazwy,Drosophila melanogaster,Brak InterPro kodów dla tego białka.,imex:IM-28761|pubmed:37061542
Q7K527,Tetraspanin,Drosophila melanogaster,IPR018499|IPR000301|IPR008952,imex:IM-28761|pubmed:37061542
Q7L592-2,Isoform 2 of Protein arginine methyltransferase NDUFAF7, mitochondrial,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q7L985,Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR013098|IPR003599|IPR003598|IPR001611|IPR003591|IPR032675|IPR050541|IPR000372,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7RTS1,Class A basic helix-loop-helix protein 15,Homo sapiens,IPR011598|IPR050359|IPR036638,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z5A8,Chemokine-like protein TAFA-3,Homo sapiens,IPR020350|IPR051743,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z5A8-2,Isoform 2 of Chemokine-like protein TAFA-3,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q7Z5G4,Golgin subfamily A member 7,Homo sapiens,IPR019383|IPR051371,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z6M3,Allergin-1,Homo sapiens,IPR036179|IPR013783|IPR040878,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z7H8,Large ribosomal subunit protein uL10m,Homo sapiens,IPR001790|IPR043141|IPR047865,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q7Z7L7,Protein zer-1 homolog,Homo sapiens,IPR011989|IPR016024|IPR000225|IPR032675|IPR056845|IPR055142|IPR051341,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q86V59,Paraneoplastic antigen-like protein 8A,Homo sapiens,IPR049131|IPR026523|IPR048271,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q86VP6,Cullin-associated NEDD8-dissociated protein 1,Homo sapiens,IPR011989|IPR016024|IPR039852|IPR013932,doi:10.1016/j.cell.2010.11.017|imex:IM-18651|pubmed:21145461
Q86WC4,Osteopetrosis-associated transmembrane protein 1,Homo sapiens,IPR019172,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q86XK7,V-set and immunoglobulin domain-containing protein 1,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003599|IPR003598|IPR013106|IPR000920|IPR029861,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8IKM7,Brak nazwy,Plasmodium falciparum (isolate 3D7),Brak InterPro kodów dla tego białka.,imex:IM-16518|mint:MINT-5218050|pubmed:16267556
Q8IVT5,Kinase suppressor of Ras 1,Homo sapiens,IPR046349|IPR011009|IPR002219|IPR000719|IPR013761|IPR046861|IPR046933|IPR001245|IPR008271|IPR050167,imex:IM-25748|pubmed:27086506
Q8IWV7,E3 ubiquitin-protein ligase UBR1,Homo sapiens,IPR003769|IPR042065|IPR044046|IPR014719|IPR047507|IPR039164|IPR055194|IPR036390|IPR003126,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8IWV8,E3 ubiquitin-protein ligase UBR2,Homo sapiens,IPR003769|IPR042065|IPR044046|IPR014719|IPR047508|IPR039164|IPR055194|IPR036390|IPR003126,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8IWV8-4,Isoform 4 of E3 ubiquitin-protein ligase UBR2,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q8IXM6,Nurim,Homo sapiens,IPR033580,imex:IM-25472|pubmed:32296183
Q8IY31,Intraflagellar transport protein 20 homolog,Homo sapiens,IPR028172,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8IYB8,ATP-dependent RNA helicase SUPV3L1, mitochondrial,Homo sapiens,IPR055206|IPR001650|IPR027417|IPR050699|IPR022192|IPR041082|IPR044774|IPR041453,imex:IM-30059|pubmed:39251607
Q8N0U8,Vitamin K epoxide reductase complex subunit 1-like protein 1,Homo sapiens,IPR012932|IPR038354|IPR042406,imex:IM-25472|pubmed:32296183
Q8N1G0,Zinc finger protein 687,Homo sapiens,IPR045914|IPR041697|IPR057356|IPR036236|IPR013087,imex:IM-13779|pubmed:20711500
Q8N5M1,ATP synthase mitochondrial F1 complex assembly factor 2,Homo sapiens,IPR011419|IPR042272|IPR023335,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8N5M9,Protein jagunal homolog 1,Homo sapiens,IPR009787,imex:IM-25472|pubmed:32296183
Q8N5N7,Large ribosomal subunit protein mL50,Homo sapiens,IPR018305,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8NA69,Stabilizer of axonemal microtubules 5,Homo sapiens,IPR028001,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q8NC51,SERPINE1 mRNA-binding protein 1,Homo sapiens,IPR039764|IPR006861|IPR032381,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8NEX9,Short-chain dehydrogenase/reductase family 9C member 7,Homo sapiens,IPR036291|IPR020904|IPR002347,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8NHW4,C-C motif chemokine 4-like,Homo sapiens,IPR039809|IPR000827|IPR001811|IPR036048,imex:IM-25472|pubmed:32296183
Q8NI60,Atypical kinase COQ8A, mitochondrial,Homo sapiens,IPR004147|IPR034646|IPR051409|IPR011009,imex:IM-25472|pubmed:32296183
Q8T0T9,Novel acetylcholine receptor chaperone,Drosophila melanogaster,IPR032808|IPR040399,imex:IM-28761|pubmed:37061542
Q8TAA5,GrpE protein homolog 2, mitochondrial,Homo sapiens,IPR000740|IPR013805|IPR009012,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q8TAF3,WD repeat-containing protein 48,Homo sapiens,IPR015943|IPR020472|IPR019775|IPR036322|IPR001680|IPR051246|IPR021772,imex:IM-12079|pubmed:19615732
Q8TBZ3,WD repeat-containing protein 20,Homo sapiens,IPR015943|IPR036322|IPR001680|IPR051362,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8TBZ3-2,Isoform 2 of WD repeat-containing protein 20,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q8TCC3,Large ribosomal subunit protein uL30m,Homo sapiens,IPR036919|IPR005996|IPR016082,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8TD20,Solute carrier family 2, facilitated glucose transporter member 12,Homo sapiens,IPR020846|IPR005828|IPR050820|IPR036259|IPR003663|IPR005829,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q8TDD1,ATP-dependent RNA helicase DDX54,Homo sapiens,IPR012541|IPR033517|IPR011545|IPR050079|IPR014001|IPR001650|IPR027417|IPR000629|IPR014014,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8TEB1,DDB1- and CUL4-associated factor 11,Homo sapiens,IPR051859|IPR017399|IPR015943|IPR020472|IPR036322|IPR001680,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q8WUA2,Peptidyl-prolyl cis-trans isomerase-like 4,Homo sapiens,IPR035542|IPR029000|IPR002130|IPR035538|IPR012677|IPR035979|IPR000504,imex:IM-30059|pubmed:39251607
Q8WVV5,Butyrophilin subfamily 2 member A2,Homo sapiens,IPR001870|IPR043136|IPR053896|IPR003879|IPR013320|IPR007110|IPR036179|IPR013783|IPR003599|IPR013106|IPR050504|IPR006574|IPR037958|IPR003877,imex:IM-25472|pubmed:32296183
Q8WVX3-2,Isoform 2 of Sarcoplasmic/endoplasmic reticulum calcium ATPase regulator ARLN,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
Q92482,Aquaporin-3,Homo sapiens,IPR023271|IPR023275|IPR000425|IPR050363|IPR022357,imex:IM-25472|pubmed:32296183
Q92731,Estrogen receptor beta,Homo sapiens,IPR021064|IPR028355|IPR024178|IPR035500|IPR000536|IPR050200|IPR001723|IPR001628|IPR013088,imex:IM-13781|pubmed:21182203
Q92796,Disks large homolog 3,Homo sapiens,IPR019583|IPR016313|IPR019590|IPR035763|IPR008145|IPR008144|IPR020590|IPR027417|IPR001478|IPR036034|IPR036028|IPR001452|IPR050614,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q92804,TATA-binding protein-associated factor 2N,Homo sapiens,IPR012677|IPR035979|IPR000504|IPR034870|IPR001876|IPR036443,imex:IM-30059|pubmed:39251607
Q92817,Envoplakin,Homo sapiens,IPR041615|IPR043197|IPR035915|IPR058847|IPR001101|IPR001452|IPR018159|IPR055419,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q92917,G-patch domain and KOW motifs-containing protein,Homo sapiens,IPR000467|IPR041993|IPR041994|IPR005824|IPR014722|IPR045166|IPR026822,imex:IM-30059|pubmed:39251607
Q92956,Tumor necrosis factor receptor superfamily member 14,Homo sapiens,IPR001368|IPR022332|IPR034031,pubmed:17353931
Q93015,N-alpha-acetyltransferase 80,Homo sapiens,IPR016181|IPR000182|IPR039840,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q93079,Histone H2B type 1-H,Homo sapiens,IPR007125|IPR009072|IPR000558|IPR055333,doi:10.1074/mcp.ra118.000924|imex:IM-26653|pubmed:30021884
Q969L2,Protein MAL2,Homo sapiens,IPR013295|IPR008253|IPR050578,imex:IM-25472|pubmed:32296183
Q969Y0,NXPE family member 3,Homo sapiens,IPR014756|IPR057106|IPR026845,imex:IM-25472|pubmed:32296183
Q969Z0,FAST kinase domain-containing protein 4,Homo sapiens,IPR013579|IPR050870|IPR010622|IPR013584,imex:IM-30059|pubmed:39251607
Q96AQ6,Pre-B-cell leukemia transcription factor-interacting protein 1,Homo sapiens,IPR051990,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96BW5,N-acetyltaurine hydrolase,Homo sapiens,IPR017947|IPR032466|IPR001559,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96BW5-2,Isoform 2 of N-acetyltaurine hydrolase,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q96CS3,FAS-associated factor 2,Homo sapiens,IPR049483|IPR036249|IPR006577|IPR009060|IPR054109|IPR029071|IPR001012|IPR050730,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96DW6,Mitochondrial glycine transporter,Homo sapiens,IPR030847|IPR023395|IPR018108,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q96DZ9-2,Isoform 2 of CKLF-like MARVEL transmembrane domain-containing protein 5,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
Q96E93,Killer cell lectin-like receptor subfamily G member 1,Homo sapiens,IPR001304|IPR016186|IPR016187|IPR042190|IPR033992,imex:IM-25472|pubmed:32296183
Q96EH3,Mitochondrial assembly of ribosomal large subunit protein 1,Homo sapiens,IPR004394|IPR043519,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96EL3,Large ribosomal subunit protein mL53,Homo sapiens,IPR052473|IPR019716,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96JC9,ELL-associated factor 1,Homo sapiens,IPR027093|IPR019194,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q96LL9,DnaJ homolog subfamily C member 30, mitochondrial,Homo sapiens,IPR001623|IPR036869|IPR053025,imex:IM-25472|pubmed:32296183
Q96ME7,Zinc finger protein 512,Homo sapiens,IPR052274|IPR048408|IPR048403|IPR036236|IPR013087,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q96MX0,CKLF-like MARVEL transmembrane domain-containing protein 3,Homo sapiens,IPR008253|IPR050578,imex:IM-25472|pubmed:32296183
Q96PE5,Opalin,Homo sapiens,IPR026609,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96QK1,Vacuolar protein sorting-associated protein 35,Homo sapiens,IPR016024|IPR005378|IPR042491,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q96S79,Ras-like protein family member 10B,Homo sapiens,IPR027417|IPR052661|IPR001806,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q96SZ6,Mitochondrial tRNA methylthiotransferase CDK5RAP1,Homo sapiens,IPR006638|IPR005839|IPR020612|IPR013848|IPR038135|IPR006463|IPR007197|IPR023404|IPR058240|IPR002792,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q96T37,RNA-binding protein 15,Homo sapiens,IPR012677|IPR035979|IPR034470|IPR034472|IPR034473|IPR000504|IPR016194|IPR012921|IPR010912,imex:IM-30059|pubmed:39251607
Q96T88,E3 ubiquitin-protein ligase UHRF1,Homo sapiens,IPR015947|IPR036987|IPR003105|IPR021991|IPR000626|IPR029071|IPR047406|IPR045134|IPR011011|IPR001965|IPR019787|IPR001841|IPR013083|IPR017907,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q99207,Nucleolar complex protein 14,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),IPR007276,doi:10.1261/rna.062927.117|imex:IM-24374|imex:IM-25795|pubmed:11694595|pubmed:12150911|pubmed:16429126|pubmed:29054886
Q99436,Proteasome subunit beta type-7,Homo sapiens,IPR029055|IPR000243|IPR024689|IPR016050|IPR001353|IPR023333,imex:IM-16517|mint:MINT-5217955|pubmed:16169070
Q99523,Sortilin,Homo sapiens,IPR031777|IPR031778|IPR006581|IPR050310|IPR015943,imex:IM-24272|pubmed:26496610
Q99598,Translin-associated protein X,Homo sapiens,IPR016069|IPR002848|IPR016068|IPR036081,imex:IM-24272|pubmed:26496610
Q99788,Chemerin-like receptor 1,Homo sapiens,IPR002258|IPR000826|IPR000276|IPR017452,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q99797,Mitochondrial intermediate peptidase,Homo sapiens,IPR033851|IPR024079|IPR024077|IPR045090|IPR001567,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q99PL5,Ribosome-binding protein 1,Mus musculus,IPR007794|IPR040248,imex:IM-24272|pubmed:26496610
Q9BQG1,Synaptotagmin-3,Homo sapiens,IPR000008|IPR035892|IPR001565,imex:IM-25472|pubmed:32296183
Q9BRK4,Leucine zipper putative tumor suppressor 2,Homo sapiens,IPR045329|IPR028597,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BRU9,rRNA-processing protein UTP23 homolog,Homo sapiens,IPR006984|IPR029060|IPR057776,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BSG1,Zinc finger protein 2,Homo sapiens,IPR001909|IPR036051|IPR050758|IPR036236|IPR013087,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9BT56,Spexin,Homo sapiens,IPR028126,imex:IM-25472|pubmed:32296183
Q9BU79,Transmembrane protein 243,Homo sapiens,IPR022564,imex:IM-25472|pubmed:32296183
Q9BVL4,Protein adenylyltransferase SelO, mitochondrial,Homo sapiens,IPR003846,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9BVS5,tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial,Homo sapiens,IPR029063|IPR054151|IPR049470|IPR014816,doi:10.1016/j.cell.2021.04.011|imex:IM-26301|imex:IM-29278|pubmed:29568061|pubmed:33961781
Q9BVV7,Mitochondrial import inner membrane translocase subunit Tim21,Homo sapiens,IPR013261|IPR038552,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BXA6,Testis-specific serine/threonine-protein kinase 6,Homo sapiens,IPR011009|IPR000719|IPR017441|IPR008271|IPR042710,doi:10.1016/j.molcel.2020.07.001|imex:IM-29257|pubmed:32707033
Q9BYD1,Large ribosomal subunit protein uL13m,Homo sapiens,IPR005822|IPR005823|IPR023563|IPR036899,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BYD3,Large ribosomal subunit protein uL4m,Homo sapiens,IPR002136|IPR013005|IPR023574,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9BYD3-2,Isoform 2 of Large ribosomal subunit protein uL4m,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9C0D3,Protein zyg-11 homolog B,Homo sapiens,IPR011989|IPR016024|IPR001611|IPR032675|IPR056845|IPR055142|IPR051341,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9GZS1,DNA-directed RNA polymerase I subunit RPA49,Homo sapiens,IPR009668,pubmed:17353931
Q9H0U6,Large ribosomal subunit protein uL18m,Homo sapiens,IPR057268|IPR005484|IPR036967,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H0X4,Protein FAM234A,Homo sapiens,IPR055409|IPR045232|IPR011047,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H2F3,3 beta-hydroxysteroid dehydrogenase type 7,Homo sapiens,IPR002225|IPR036291|IPR050425,imex:IM-25472|pubmed:32296183
Q9H2Y7,Zinc finger protein 106,Homo sapiens,IPR015943|IPR036322|IPR001680|IPR042622|IPR013087,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H444,Charged multivesicular body protein 4b,Homo sapiens,IPR005024,imex:IM-24272|pubmed:26496610
Q9H5H4,Zinc finger protein 768,Homo sapiens,IPR000684|IPR036236|IPR013087,imex:IM-25472|pubmed:32296183
Q9H6L5,Reticulophagy regulator 1,Homo sapiens,IPR055255|IPR057282|IPR043384,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H6Q3,Src-like-adapter 2,Homo sapiens,IPR043539|IPR000980|IPR036860|IPR036028|IPR001452|IPR035052,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9H857,5'-nucleotidase domain-containing protein 2,Homo sapiens,IPR036412|IPR008380|IPR023214|IPR016695,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9HD33,Large ribosomal subunit protein uL29m,Homo sapiens,IPR038340|IPR010729,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9HD33-2,Isoform 2 of Large ribosomal subunit protein uL29m,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9N415,Brak nazwy,Caenorhabditis elegans,IPR003961|IPR057884|IPR036116|IPR013783|IPR035753|IPR035755|IPR040325|IPR036028|IPR001452,imex:IM-18681|pubmed:23549480
Q9NP92,Large ribosomal subunit protein mL65,Homo sapiens,IPR010793|IPR039982,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NQ29,Putative RNA-binding protein Luc7-like 1,Homo sapiens,IPR004882,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NQ29-2,Isoform 2 of Putative RNA-binding protein Luc7-like 1,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9NQW6,Anillin,Homo sapiens,IPR012966|IPR031970|IPR051364|IPR011993|IPR037840|IPR001849,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NRW1,Ras-related protein Rab-6B,Homo sapiens,IPR027417|IPR050227|IPR005225|IPR001806,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NUL7,Probable ATP-dependent RNA helicase DDX28,Homo sapiens,IPR011545|IPR050079|IPR014001|IPR001650|IPR027417|IPR014014,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NVV5-2,Isoform 1 of Androgen-induced gene 1 protein,Homo sapiens,Brak InterPro kodów dla tego białka.,imex:IM-25472|pubmed:32296183
Q9NWT8,Small ribosomal subunit protein bS22, mitochondrial,Homo sapiens,IPR013177,imex:IM-26301|pubmed:29568061
Q9NX40,OCIA domain-containing protein 1,Homo sapiens,IPR040187|IPR009764,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NY72,Sodium channel regulatory subunit beta-3,Homo sapiens,IPR007110|IPR036179|IPR013783|IPR003599|IPR013106|IPR027098,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9NYK5,Large ribosomal subunit protein mL39,Homo sapiens,IPR012675|IPR050062|IPR004095|IPR012676|IPR018163,doi:10.1016/j.cell.2021.04.011|imex:IM-29278|pubmed:33961781
Q9NYK5-2,Isoform 2 of Large ribosomal subunit protein mL39,Homo sapiens,Brak InterPro kodów dla tego białka.,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9P031,Thyroid transcription factor 1-associated protein 26,Homo sapiens,IPR013730,doi:10.1038/nature22366|imex:IM-25778|pubmed:28514442
Q9P2K6,Kelch-like protein 42,Homo sapiens,IPR011705|IPR056737|IPR000210|IPR052392|IPR015915|IPR006652|IPR044727|IPR011333,doi:10.1016/j.cell.2021.04.011|doi:10.1038/nature22366|imex:IM-25778|imex:IM-29278|pubmed:28514442|pubmed:33961781
Q9PHK9,ATP-dependent protease subunit HslV,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR022281|IPR029055|IPR001353|IPR023333,pubmed:17615063
Q9PIB9,6,7-dimethyl-8-ribityllumazine synthase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR034964|IPR002180|IPR036467,pubmed:17615063
Q9PIH4,Exodeoxyribonuclease 7 large subunit,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR003753|IPR020579|IPR025824,pubmed:17615063
Q9PIK3,Aspartate 1-decarboxylase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR009010|IPR003190,pubmed:17615063
Q9PIQ3,Bacteriohemerythrin,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR023504|IPR016131|IPR050669|IPR012312|IPR035938|IPR012827,pubmed:17615063
Q9PLV2,Homoserine O-acetyltransferase,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR029062|IPR033752,pubmed:17615063
Q9PML1,UPF0306 protein Cj1449c,Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),IPR012349|IPR011194,pubmed:17615063
